,Unnamed: 0,User ID,Trump,Biden,Democratic,Republican,Label
118,118,2617427664,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
119,119,1396139226,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
120,120,1190477680182841346,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
121,121,328553737,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
122,122,873485029,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
123,123,631788662,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
124,124,1187139175,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
125,125,115277286,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
126,126,1625561155,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
127,127,1022853121259839488,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
128,128,2715275017,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
129,129,288362308,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
130,130,280175786,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
131,131,1078647915424505857,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
132,132,14995902,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
133,133,1001314480825958400,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
134,134,752174238715547648,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
135,135,234514016,Dislike,Non-mentioned,Non-mentioned,Dislike,Neutral
136,136,2646280429,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
137,137,35862055,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
138,138,297398488,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
139,139,1148363214025109504,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
140,140,44443099,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
141,141,274809275,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
142,142,95152774,Dislike,Dislike,Like,Non-mentioned,Neutral
143,143,2796788203,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
144,144,510455186,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
145,145,254844865,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
146,146,59415161,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
147,147,235776953,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
148,148,3183741433,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
149,149,1228360047891058689,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
150,150,1222768100870893569,Dislike,Non-mentioned,Non-mentioned,Swing,Neutral
151,151,422008745,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
152,152,185458455,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
153,153,245990185,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
154,154,1233627206435237888,Dislike,Like,Non-mentioned,Like,Neutral
155,155,72035843,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
156,156,152357230,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
157,157,1169291556798394368,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
158,158,18816349,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
159,159,165099937,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
160,160,163591582,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
161,161,1024685846,Dislike,Non-mentioned,Non-mentioned,Dislike,Neutral
162,162,1096471417674186752,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
163,163,997666681613832192,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
164,164,14013202,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
165,165,106259730,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
166,166,4111729581,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
167,167,61189320,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
168,168,72709676,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
169,169,348004351,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
170,170,1643148727,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
171,171,783757927853293568,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
172,172,1549943022,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
173,173,18912806,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
174,174,899086149410533377,Dislike,Swing,Non-mentioned,Non-mentioned,Neutral
175,175,19649612,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
176,176,838567732211666944,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
177,177,239003150,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
178,178,11213522,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
179,179,46563537,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
180,180,20743162,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
181,181,292986815,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
182,182,390682767,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
183,183,922054391032512512,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
184,184,386734304,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
185,185,1054964329269858304,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
186,186,15555424,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
187,187,4867514357,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
188,188,382635714,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
189,189,126058763,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
190,190,14919742,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
191,191,1214658340061622274,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
192,192,121249986,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
193,193,739621748,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
194,194,961324275671089153,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
195,195,983731443502370816,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
196,196,49612219,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
197,197,313808832,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
198,198,1022712137058271233,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
199,199,597462096,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
200,200,188891003,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
201,201,272147140,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
202,202,17142076,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
203,203,2981648574,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
204,204,458134725,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
205,205,1182204751103922176,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
206,206,2868770903,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
207,207,84846440,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
208,208,182234505,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
209,209,201539716,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
210,210,141048668,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
211,211,214509833,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
212,212,1220393768496640000,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
213,213,876523207,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
214,214,54473439,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
215,215,1394699252,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
216,216,860798014134333441,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
217,217,215818188,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
218,218,18776869,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
219,219,2549678479,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
220,220,570990196,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
221,221,538664208,Dislike,Non-mentioned,Dislike,Non-mentioned,Neutral
222,222,30623688,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
223,223,1018580075627679744,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
224,224,934629091797618688,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
225,225,70934981,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
226,226,19706851,Dislike,Like,Dislike,Non-mentioned,Neutral
227,227,1458278131,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
228,228,1283617100,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
229,229,2443076690,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
230,230,2452992871,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
231,231,437589430,Dislike,Non-mentioned,Like,Non-mentioned,Neutral
232,232,4834101519,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
233,233,7806382,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
234,234,15039462,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
235,235,26580562,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
236,236,865005191229091841,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
237,237,455346913,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
238,238,16298452,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
239,239,2838295565,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
240,240,2555546810,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
241,241,168801938,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
242,242,565044527,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
243,243,1225799162,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
244,244,1037752244656058370,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
245,245,135859084,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
246,246,2892635424,Dislike,Non-mentioned,Swing,Non-mentioned,Neutral
247,247,18849860,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
248,248,2482527994,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
249,249,4190884264,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
250,250,250341831,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
251,251,206111961,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
252,252,921387332,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
253,253,151100773,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
254,254,4904917940,Dislike,Dislike,Non-mentioned,Non-mentioned,Neutral
255,255,1340688116,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
256,256,179499516,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
257,257,973615076308430848,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
258,258,18523974,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
259,259,795699442313809920,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
260,260,1235930179630821378,Dislike,Like,Non-mentioned,Non-mentioned,Neutral
261,261,1171689344546963456,Dislike,Swing,Non-mentioned,Dislike,Neutral
262,262,21545598,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
263,263,759954151967031296,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
264,264,253776417,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
265,265,190823391,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
266,266,2161724486,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
267,267,1240782808236335105,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
268,268,158752322,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
269,269,370907181,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
270,270,1243799941291466752,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
271,271,27187116,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
272,272,213389111,Dislike,Dislike,Non-mentioned,Dislike,Neutral
273,273,1176538423303319552,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Neutral
