,User ID,Trump,Biden,Democratic,Republican,Label
46,1121213093672046594,Dislike,Non-mentioned,Dislike,Non-mentioned,Hate
47,1020776390407307265,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
48,187978594,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
49,1234522465671536642,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
50,631972272,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
51,737584627590651906,Dislike,Like,Non-mentioned,Non-mentioned,Hate
52,1079848430212653057,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
53,3084936311,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
54,197517867,Dislike,Swing,Non-mentioned,Non-mentioned,Hate
55,1347808039,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
56,100050811,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
57,36207446,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
58,1179564128169426944,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
59,291352958,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
60,715298721299206144,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
61,95015957,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
62,1122843320198111233,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
63,1010711915000225795,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
64,947355754335490048,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
65,803773050059489280,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
66,1186826404656140289,Dislike,Non-mentioned,Non-mentioned,Like,Hate
67,1227482523682398208,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
68,987271232130306048,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Hate
69,2645895847,Dislike,Dislike,Non-mentioned,Non-mentioned,Hate
70,908729151468732416,Dislike,Like,Non-mentioned,Non-mentioned,Hate
