,User ID,Trump,Biden,Democratic,Republican,Label
121,15208386,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
122,125200583,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
123,895237047706931201,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
124,14185377,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
125,874139784591048709,Dislike,Dislike,Non-mentioned,Non-mentioned,Counterhate
126,2397436332,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
127,25846768,Dislike,Like,Non-mentioned,Non-mentioned,Counterhate
128,1085287845588336646,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
129,264861284,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
130,2737710274,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
131,1088979452363792385,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
132,924400243621466113,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
133,49098460,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
134,858464972921327620,Dislike,Non-mentioned,Like,Non-mentioned,Counterhate
135,1506002838,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
136,166758647,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
137,747276635519520768,Dislike,Swing,Non-mentioned,Non-mentioned,Counterhate
138,76341368,Dislike,Non-mentioned,Dislike,Non-mentioned,Counterhate
139,1225376692006506500,Dislike,Non-mentioned,Like,Non-mentioned,Counterhate
140,1241176107115614208,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
141,3248110248,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
142,798267230815391744,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
143,1020719340507881474,Dislike,Non-mentioned,Non-mentioned,Like,Counterhate
144,470716113,Dislike,Swing,Like,Non-mentioned,Counterhate
145,915994734212067329,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
146,2228250650,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
147,1107049442975367168,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
148,239198524,Dislike,Non-mentioned,Non-mentioned,Dislike,Counterhate
149,4060757297,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
150,2967499517,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
151,828069305933717505,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
152,719872548884914176,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Counterhate
