,User ID,State,County,Trump,Biden,Democratic,Republican,State Vote,County Vote,State Vote Change,County Vote Change,Label
109,28789826.0,Minnesota,Hennepin,Dislike,Swing,Like,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
110,9.49e+17,Indiana,Hamilton,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
111,52218970.0,Colorado,Denver,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
112,1.22e+18,Texas,Coleman,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
113,262439752.0,North Carolina,Chatham,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
114,194852321.0,Iowa,Appanoose,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
115,1419470107.0,California,San Diego,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
116,1.13e+18,Arizona,Maricopa,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Change,Change,Hate
117,83107400.0,Ohio,Hamilton,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Blue,Non-change,Non-change,Hate
118,9.62e+17,Kansas,Decatur,Dislike,Swing,Dislike,Like,Red,Red,Non-change,Non-change,Hate
119,8e+17,Kansas,Decatur,Dislike,Dislike,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
120,1091790494.0,Georgia,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Red,Change,Non-change,Hate
121,1856346540.0,Washington,King,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
122,2619022660.0,Minnesota,Dakota,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
123,18363806.0,Texas,Morris,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
124,28169257.0,Connecticut,Middlesex,Swing,Like,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
